step_id,agent_id,lockdown,mh,n_contacts
0,0,easy,5.0,3.8
0,1,easy,4.0,4.1
0,2,easy,1.0,1.2999999999999998
0,3,easy,0.0,3.3
0,4,easy,2.0,2.7
0,5,easy,7.0,7.3
0,6,easy,11.0,5.8999999999999995
0,7,easy,4.5,4.4
0,8,easy,0.5,4.4
0,9,easy,2.0,3.5999999999999996
0,10,easy,-0.5,5.6
0,11,easy,4.0,5.5
0,12,easy,1.0,2.5999999999999996
0,13,easy,5.5,5.8
0,14,easy,8.0,5.4
0,15,easy,9.5,7.8
0,16,easy,6.5,7.6
0,17,easy,-1.5,0.0
0,18,easy,0.0,3.0999999999999996
0,19,easy,6.5,7.3999999999999995
0,20,easy,4.0,7.8
0,21,easy,4.5,7.1
0,22,easy,7.0,2.8
0,23,easy,1.0,2.8999999999999995
0,24,easy,7.0,6.8999999999999995
0,25,easy,1.0,3.0
0,26,easy,10.5,13.299999999999999
0,27,easy,6.5,9.6
0,28,easy,0.0,6.6
0,29,easy,5.0,5.9
0,30,easy,10.0,6.8
0,31,easy,5.0,5.0
0,32,easy,8.0,8.3
0,33,easy,4.0,3.1
0,34,easy,4.0,7.6
0,35,easy,4.0,5.0
0,36,easy,6.0,5.8
0,37,easy,5.0,3.5
0,38,easy,5.5,6.7
0,39,easy,9.0,10.6
0,40,easy,8.5,8.7
0,41,easy,12.0,14.600000000000001
0,42,easy,1.5,4.0
0,43,easy,4.0,5.6
0,44,easy,1.0,0.2999999999999998
0,45,easy,5.0,6.4
0,46,easy,9.0,4.9
0,47,easy,10.0,11.3
0,48,easy,9.0,12.5
0,49,easy,8.0,6.5
0,50,easy,4.0,6.6
0,51,easy,4.0,5.5
0,52,easy,4.5,5.5
0,53,easy,6.0,6.3
0,54,easy,7.5,6.8
0,55,easy,8.0,7.2
0,56,easy,7.5,7.8
0,57,easy,8.0,7.5
0,58,easy,11.5,11.6
0,59,easy,10.0,4.1
0,60,easy,7.0,6.6
0,61,easy,9.0,8.0
0,62,easy,1.0,2.1
0,63,easy,5.0,9.3
0,64,easy,9.5,8.3
0,65,easy,7.5,6.7
0,66,easy,2.5,2.2
0,67,easy,1.0,-1.2000000000000002
0,68,easy,6.0,6.8
0,69,easy,10.0,6.3
0,70,easy,4.5,9.399999999999999
0,71,easy,7.5,7.5
0,72,easy,4.5,6.5
0,73,easy,3.0,4.6
0,74,easy,3.0,4.1
0,75,easy,9.0,6.9
0,76,easy,9.0,9.6
0,77,easy,4.0,2.5999999999999996
0,78,easy,7.0,7.3
0,79,easy,10.0,10.6
0,80,easy,1.0,3.6999999999999997
0,81,easy,11.5,10.6
0,82,easy,3.0,4.3
0,83,easy,0.0,2.1000000000000005
0,84,easy,2.0,5.5
0,85,easy,7.5,5.3
0,86,easy,4.0,4.1
0,87,easy,11.5,7.8999999999999995
0,88,easy,0.0,3.0999999999999996
0,89,easy,1.5,5.1
0,90,easy,4.0,8.399999999999999
0,91,easy,4.0,6.0
0,92,easy,8.0,8.0
0,93,easy,1.5,3.5
0,94,easy,10.0,8.8
0,95,easy,6.0,4.0
0,96,easy,6.0,4.6
0,97,easy,9.0,3.5
0,98,easy,-0.5,3.8
0,99,easy,1.0,-1.3000000000000007
1,0,hard,5.0,3.3
1,1,hard,2.0,1.5
1,2,hard,-1.5,-1.5
1,3,hard,0.0,4.8
1,4,hard,4.0,5.9
1,5,hard,3.0,2.5
1,6,hard,-1.0,-2.6000000000000005
1,7,hard,3.5,5.1
1,8,hard,5.5,5.6
1,9,hard,2.0,2.5
1,10,hard,0.0,2.6
1,11,hard,6.0,4.3
1,12,hard,2.5,6.3
1,13,hard,0.5,1.8000000000000003
1,14,hard,3.0,3.6
1,15,hard,9.0,7.6
1,16,hard,-1.0,2.8
1,17,hard,0.5,3.6
1,18,hard,-1.0,2.5
1,19,hard,-1.5,-1.7000000000000002
1,20,hard,4.0,4.1
1,21,hard,-1.5,-0.7999999999999998
1,22,hard,3.0,6.1
1,23,hard,-1.0,1.4
1,24,hard,8.0,5.9
1,25,hard,6.0,6.699999999999999
1,26,hard,3.0,5.199999999999999
1,27,hard,1.5,2.0999999999999996
1,28,hard,4.0,2.9000000000000004
1,29,hard,6.0,6.3
1,30,hard,7.0,3.5
1,31,hard,3.0,6.1
1,32,hard,0.0,2.1
1,33,hard,1.0,3.2
1,34,hard,0.5,1.3
1,35,hard,3.0,6.3
1,36,hard,4.0,4.3
1,37,hard,5.0,3.7
1,38,hard,2.5,3.6000000000000005
1,39,hard,3.0,1.2999999999999998
1,40,hard,8.5,8.0
1,41,hard,10.0,9.899999999999999
1,42,hard,3.5,2.5
1,43,hard,1.0,2.0
1,44,hard,5.0,5.6
1,45,hard,5.0,3.6000000000000005
1,46,hard,1.0,3.8
1,47,hard,6.0,10.5
1,48,hard,3.0,4.8
1,49,hard,3.0,5.0
1,50,hard,2.0,3.9
1,51,hard,3.5,6.5
1,52,hard,0.5,3.8000000000000003
1,53,hard,3.0,4.8
1,54,hard,5.0,4.3999999999999995
1,55,hard,3.0,4.5
1,56,hard,3.0,4.6
1,57,hard,0.0,0.7999999999999998
1,58,hard,2.0,4.3999999999999995
1,59,hard,10.0,7.3999999999999995
1,60,hard,9.5,6.3
1,61,hard,7.0,4.0
1,62,hard,5.0,3.1
1,63,hard,8.0,9.5
1,64,hard,3.0,2.6
1,65,hard,2.5,3.7
1,66,hard,5.5,7.0
1,67,hard,4.0,7.1
1,68,hard,3.5,3.5999999999999996
1,69,hard,9.0,12.0
1,70,hard,-0.5,1.9
1,71,hard,9.5,8.3
1,72,hard,4.5,3.8
1,73,hard,2.0,2.6
1,74,hard,-2.0,-0.10000000000000053
1,75,hard,4.5,2.1
1,76,hard,4.5,5.1
1,77,hard,7.0,3.5999999999999996
1,78,hard,3.0,2.1
1,79,hard,5.0,3.5999999999999996
1,80,hard,2.5,5.1
1,81,hard,7.0,6.1
1,82,hard,3.0,4.6
1,83,hard,4.0,2.1
1,84,hard,3.0,3.6
1,85,hard,9.0,5.8
1,86,hard,2.0,2.6
1,87,hard,5.5,4.8999999999999995
1,88,hard,-2.0,0.2999999999999998
1,89,hard,5.5,5.6
1,90,hard,7.0,5.8
1,91,hard,4.0,3.6
1,92,hard,4.0,7.1
1,93,hard,6.0,4.6
1,94,hard,9.0,6.5
1,95,hard,4.0,2.3
1,96,hard,1.0,-0.2
1,97,hard,4.0,5.0
1,98,hard,1.5,2.0999999999999996
1,99,hard,10.0,7.8999999999999995
2,0,medium,4.0,0.10000000000000009
2,1,medium,3.0,3.5999999999999996
2,2,medium,3.5,7.8
2,3,medium,-1.0,2.5999999999999996
2,4,medium,4.0,6.6
2,5,medium,-2.0,-4.4
2,6,medium,10.0,12.6
2,7,medium,3.5,5.1
2,8,medium,3.5,4.1
2,9,medium,4.0,6.199999999999999
2,10,medium,1.5,7.1
2,11,medium,1.0,3.0
2,12,medium,-1.0,2.8
2,13,medium,0.5,4.4
2,14,medium,10.0,5.8
2,15,medium,4.5,5.8
2,16,medium,2.0,4.1
2,17,medium,0.5,4.6
2,18,medium,2.0,4.1
2,19,medium,6.5,6.8999999999999995
2,20,medium,-0.5,-0.5
2,21,medium,3.0,7.8
2,22,medium,8.5,8.0
2,23,medium,-1.0,2.4000000000000004
2,24,medium,4.5,2.8000000000000003
2,25,medium,3.0,2.2
2,26,medium,5.5,10.3
2,27,medium,2.5,-0.10000000000000053
2,28,medium,6.0,3.7
2,29,medium,5.0,6.1
2,30,medium,7.0,4.3
2,31,medium,4.0,4.6
2,32,medium,5.0,3.1
2,33,medium,6.0,5.3
2,34,medium,4.5,5.8
2,35,medium,4.0,2.8
2,36,medium,2.0,4.8
2,37,medium,3.0,3.5
2,38,medium,5.5,5.4
2,39,medium,7.0,10.6
2,40,medium,7.0,7.5
2,41,medium,10.0,9.899999999999999
2,42,medium,6.0,7.5
2,43,medium,6.5,6.3
2,44,medium,6.0,6.1
2,45,medium,1.0,4.9
2,46,medium,2.0,7.8
2,47,medium,5.0,7.3
2,48,medium,5.0,7.1
2,49,medium,2.0,3.7
2,50,medium,5.0,5.3
2,51,medium,8.0,7.3
2,52,medium,4.5,4.6
2,53,medium,3.0,4.8
2,54,medium,8.0,7.199999999999999
2,55,medium,3.0,4.8
2,56,medium,3.0,3.3
2,57,medium,3.0,4.8
2,58,medium,7.0,5.3999999999999995
2,59,medium,5.0,6.8999999999999995
2,60,medium,7.0,6.3
2,61,medium,7.0,4.6000000000000005
2,62,medium,1.0,2.3
2,63,medium,9.0,10.7
2,64,medium,11.5,7.3
2,65,medium,7.0,8.6
2,66,medium,4.5,9.1
2,67,medium,10.0,6.1
2,68,medium,7.5,14.8
2,69,medium,8.0,7.3
2,70,medium,1.5,5.7
2,71,medium,3.0,6.6
2,72,medium,5.0,6.5
2,73,medium,4.0,2.0
2,74,medium,0.0,2.0999999999999996
2,75,medium,8.0,11.299999999999999
2,76,medium,5.0,6.3999999999999995
2,77,medium,4.0,6.1
2,78,medium,2.0,4.8
2,79,medium,5.0,4.0
2,80,medium,4.5,6.8
2,81,medium,8.0,6.6
2,82,medium,3.0,3.9
2,83,medium,2.0,3.1
2,84,medium,4.0,5.1
2,85,medium,6.0,3.3
2,86,medium,4.0,2.9000000000000004
2,87,medium,2.0,3.3999999999999995
2,88,medium,5.5,8.6
2,89,medium,1.5,5.8
2,90,medium,7.0,7.1
2,91,medium,6.0,7.5
2,92,medium,2.0,3.1999999999999997
2,93,medium,6.0,8.399999999999999
2,94,medium,10.0,6.3999999999999995
2,95,medium,10.0,6.3
2,96,medium,5.0,3.9000000000000004
2,97,medium,10.0,7.3
2,98,medium,1.5,5.7
2,99,medium,9.0,7.8999999999999995
3,0,absent,1.0,4.1
3,1,absent,4.5,6.7
3,2,absent,0.5,4.3
3,3,absent,6.0,6.5
3,4,absent,2.0,4.4
3,5,absent,1.0,3.0
3,6,absent,11.0,14.6
3,7,absent,4.5,4.9
3,8,absent,4.0,10.0
3,9,absent,4.5,7.6
3,10,absent,3.5,5.8999999999999995
3,11,absent,3.0,6.8
3,12,absent,1.5,3.6
3,13,absent,4.5,2.8000000000000003
3,14,absent,8.0,6.3
3,15,absent,6.0,6.6
3,16,absent,5.0,8.1
3,17,absent,1.5,6.3999999999999995
3,18,absent,4.0,4.6
3,19,absent,2.5,2.8
3,20,absent,4.5,7.699999999999999
3,21,absent,4.5,7.1
3,22,absent,3.0,7.8
3,23,absent,1.5,5.9
3,24,absent,9.0,5.6
3,25,absent,-2.0,1.7000000000000002
3,26,absent,5.5,7.1
3,27,absent,5.0,5.3
3,28,absent,4.0,6.6
3,29,absent,8.0,6.8
3,30,absent,3.0,4.0
3,31,absent,4.0,5.4
3,32,absent,6.0,7.8
3,33,absent,0.0,0.9000000000000004
3,34,absent,9.0,7.3
3,35,absent,6.0,4.8
3,36,absent,3.0,4.9
3,37,absent,4.0,5.1
3,38,absent,3.5,5.1000000000000005
3,39,absent,3.0,6.3
3,40,absent,11.5,9.0
3,41,absent,7.0,3.5999999999999996
3,42,absent,-0.5,3.5
3,43,absent,5.0,6.3
3,44,absent,3.0,4.6
3,45,absent,6.0,4.800000000000001
3,46,absent,2.0,3.0999999999999996
3,47,absent,4.0,1.7999999999999998
3,48,absent,9.0,12.8
3,49,absent,3.0,4.0
3,50,absent,4.5,8.5
3,51,absent,6.0,5.1
3,52,absent,0.5,2.6
3,53,absent,7.0,7.0
3,54,absent,9.5,11.799999999999999
3,55,absent,8.0,7.2
3,56,absent,4.0,5.4
3,57,absent,6.0,5.1
3,58,absent,11.5,10.3
3,59,absent,6.0,11.2
3,60,absent,7.0,6.6
3,61,absent,9.0,4.6000000000000005
3,62,absent,6.0,3.3
3,63,absent,6.0,6.3
3,64,absent,9.0,7.8
3,65,absent,1.0,7.6
3,66,absent,4.5,4.2
3,67,absent,10.0,9.7
3,68,absent,7.5,3.8999999999999995
3,69,absent,2.0,8.5
3,70,absent,4.5,3.1999999999999997
3,71,absent,7.5,5.3
3,72,absent,8.0,6.0
3,73,absent,5.0,3.2
3,74,absent,-2.0,5.1
3,75,absent,6.0,8.1
3,76,absent,4.5,2.3
3,77,absent,9.0,10.3
3,78,absent,8.0,6.3
3,79,absent,10.0,5.3
3,80,absent,6.5,10.1
3,81,absent,7.0,6.1
3,82,absent,3.0,3.9
3,83,absent,2.0,3.6
3,84,absent,3.0,4.4
3,85,absent,7.0,6.6
3,86,absent,4.0,1.9000000000000001
3,87,absent,9.0,9.899999999999999
3,88,absent,1.5,4.1
3,89,absent,5.5,8.5
3,90,absent,6.0,8.399999999999999
3,91,absent,5.5,6.0
3,92,absent,7.5,3.3
3,93,absent,0.0,2.0999999999999996
3,94,absent,10.0,10.8
3,95,absent,6.0,4.0
3,96,absent,6.0,4.3
3,97,absent,10.0,7.3
3,98,absent,1.0,3.4000000000000004
3,99,absent,10.0,14.599999999999998
4,0,absent,5.0,6.1
4,1,absent,2.5,4.7
4,2,absent,1.0,0.5999999999999996
4,3,absent,3.0,1.5999999999999999
4,4,absent,7.0,7.6000000000000005
4,5,absent,1.0,5.7
4,6,absent,4.5,2.3
4,7,absent,3.5,5.3
4,8,absent,3.5,4.1
4,9,absent,9.5,11.399999999999999
4,10,absent,1.0,3.8
4,11,absent,4.0,6.0
4,12,absent,0.0,2.0999999999999996
4,13,absent,0.5,1.8000000000000003
4,14,absent,4.0,5.8
4,15,absent,9.0,7.6
4,16,absent,4.5,5.1
4,17,absent,4.0,7.6
4,18,absent,5.5,10.2
4,19,absent,2.5,7.699999999999999
4,20,absent,5.0,6.1
4,21,absent,1.5,-0.7999999999999998
4,22,absent,1.0,4.8
4,23,absent,-1.0,2.0999999999999996
4,24,absent,7.0,5.9
4,25,absent,4.0,4.9
4,26,absent,5.0,4.199999999999999
4,27,absent,-1.0,3.8
4,28,absent,6.0,4.4
4,29,absent,8.0,6.9
4,30,absent,10.0,6.5
4,31,absent,3.0,5.6
4,32,absent,7.5,7.2
4,33,absent,4.0,4.9
4,34,absent,4.0,5.3
4,35,absent,5.0,7.8
4,36,absent,2.0,5.9
4,37,absent,3.0,4.1
4,38,absent,3.5,3.1000000000000005
4,39,absent,3.0,3.5999999999999996
4,40,absent,9.0,7.3
4,41,absent,9.0,10.899999999999999
4,42,absent,7.5,7.5
4,43,absent,4.0,3.3
4,44,absent,3.0,6.6
4,45,absent,5.0,5.9
4,46,absent,9.0,7.3
4,47,absent,5.0,3.3
4,48,absent,10.0,13.3
4,49,absent,6.0,3.1
4,50,absent,5.5,6.0
4,51,absent,8.0,8.3
4,52,absent,0.5,2.8000000000000003
4,53,absent,5.0,5.8
4,54,absent,7.0,9.1
4,55,absent,6.0,7.3
4,56,absent,4.0,5.1
4,57,absent,6.0,5.7
4,58,absent,7.0,10.1
4,59,absent,6.0,7.3999999999999995
4,60,absent,4.0,5.1
4,61,absent,9.0,6.6000000000000005
4,62,absent,6.0,6.0
4,63,absent,13.0,11.2
4,64,absent,9.0,8.0
4,65,absent,8.0,9.3
4,66,absent,5.5,10.899999999999999
4,67,absent,1.0,2.0999999999999996
4,68,absent,7.5,6.6
4,69,absent,8.0,5.0
4,70,absent,1.5,10.100000000000001
4,71,absent,5.0,3.8
4,72,absent,4.5,2.8
4,73,absent,4.0,4.8
4,74,absent,4.0,4.6
4,75,absent,9.5,7.8
4,76,absent,7.0,6.3999999999999995
4,77,absent,8.0,6.1
4,78,absent,6.0,3.8
4,79,absent,1.0,4.0
4,80,absent,4.0,7.3999999999999995
4,81,absent,9.0,6.6
4,82,absent,3.0,4.2
4,83,absent,2.0,2.6
4,84,absent,-1.0,-0.5
4,85,absent,7.0,3.5999999999999996
4,86,absent,2.0,3.3
4,87,absent,2.0,5.1
4,88,absent,0.0,2.8
4,89,absent,1.0,7.2
4,90,absent,8.0,9.7
4,91,absent,3.5,4.5
4,92,absent,7.5,6.0
4,93,absent,2.0,2.8
4,94,absent,9.0,10.1
4,95,absent,6.0,6.3
4,96,absent,5.0,4.3
4,97,absent,2.0,4.4
4,98,absent,3.0,-2.7
4,99,absent,9.0,4.8
5,0,easy,1.0,6.3999999999999995
5,1,easy,4.0,4.1
5,2,easy,5.5,9.399999999999999
5,3,easy,3.0,1.0999999999999999
5,4,easy,7.0,8.600000000000001
5,5,easy,3.0,0.5999999999999996
5,6,easy,6.0,-1.1000000000000005
5,7,easy,4.5,4.1
5,8,easy,2.0,2.3
5,9,easy,7.0,9.7
5,10,easy,-1.5,0.7000000000000002
5,11,easy,5.5,4.8
5,12,easy,0.0,3.3
5,13,easy,1.5,5.1
5,14,easy,4.0,5.1
5,15,easy,5.0,6.1
5,16,easy,9.5,12.299999999999999
5,17,easy,4.0,6.3
5,18,easy,-1.5,-1.2000000000000002
5,19,easy,2.0,-2.7
5,20,easy,2.0,6.5
5,21,easy,1.5,0.5
5,22,easy,1.0,6.3
5,23,easy,2.0,4.4
5,24,easy,7.0,6.8999999999999995
5,25,easy,2.0,1.7000000000000002
5,26,easy,5.0,4.8999999999999995
5,27,easy,4.5,4.8999999999999995
5,28,easy,4.0,2.9000000000000004
5,29,easy,8.0,6.8
5,30,easy,8.0,6.1
5,31,easy,4.0,5.6
5,32,easy,0.0,2.8
5,33,easy,-1.0,-2.4
5,34,easy,7.0,8.8
5,35,easy,5.5,5.7
5,36,easy,3.0,5.1
5,37,easy,4.0,4.8
5,38,easy,2.5,7.0
5,39,easy,-1.0,3.3999999999999995
5,40,easy,7.0,5.8
5,41,easy,10.0,6.6
5,42,easy,5.5,3.5999999999999996
5,43,easy,5.0,6.3
5,44,easy,1.0,1.0
5,45,easy,5.0,3.9000000000000004
5,46,easy,5.5,1.6
5,47,easy,10.0,8.6
5,48,easy,8.0,9.6
5,49,easy,8.0,5.5
5,50,easy,5.0,1.1
5,51,easy,6.0,6.5
5,52,easy,4.5,5.1
5,53,easy,4.0,5.0
5,54,easy,9.5,7.6
5,55,easy,6.0,5.1
5,56,easy,5.0,1.8
5,57,easy,3.0,4.8
5,58,easy,9.0,7.8999999999999995
5,59,easy,10.0,8.399999999999999
5,60,easy,7.0,8.6
5,61,easy,9.0,6.6000000000000005
5,62,easy,2.0,5.5
5,63,easy,9.0,8.8
5,64,easy,4.0,8.5
5,65,easy,8.0,12.6
5,66,easy,4.5,4.8
5,67,easy,5.0,6.699999999999999
5,68,easy,3.5,7.3
5,69,easy,5.0,8.8
5,70,easy,6.5,7.9
5,71,easy,7.0,8.8
5,72,easy,0.5,5.5
5,73,easy,5.0,5.5
5,74,easy,-6.0,0.09999999999999964
5,75,easy,5.0,3.0999999999999996
5,76,easy,8.0,11.1
5,77,easy,6.0,7.6
5,78,easy,6.0,6.1
5,79,easy,5.0,9.899999999999999
5,80,easy,2.0,5.3999999999999995
5,81,easy,4.0,4.6
5,82,easy,5.0,5.3
5,83,easy,1.5,2.6
5,84,easy,0.0,0.10000000000000009
5,85,easy,7.0,5.6
5,86,easy,1.0,1.1
5,87,easy,9.0,10.899999999999999
5,88,easy,4.0,1.7999999999999998
5,89,easy,5.0,5.0
5,90,easy,7.0,7.1
5,91,easy,1.0,3.1
5,92,easy,7.0,5.199999999999999
5,93,easy,5.5,2.6000000000000005
5,94,easy,10.0,6.1
5,95,easy,1.0,4.6
5,96,easy,3.0,3.6
5,97,easy,10.0,7.3
5,98,easy,1.5,1.1
5,99,easy,1.0,6.3999999999999995
6,0,easy,5.0,6.1
6,1,easy,2.0,1.5
6,2,easy,4.0,5.2
6,3,easy,4.0,1.5999999999999999
6,4,easy,5.0,8.4
6,5,easy,7.0,7.8
6,6,easy,6.0,5.6
6,7,easy,2.5,5.1
6,8,easy,5.0,6.5
6,9,easy,2.0,3.3
6,10,easy,3.5,5.199999999999999
6,11,easy,2.0,2.1
6,12,easy,-2.0,-1.1000000000000005
6,13,easy,4.5,2.8000000000000003
6,14,easy,9.0,7.6
6,15,easy,5.0,6.1
6,16,easy,2.0,5.8
6,17,easy,0.5,3.6
6,18,easy,3.5,7.3
6,19,easy,6.5,7.3999999999999995
6,20,easy,0.5,5.1
6,21,easy,6.0,8.8
6,22,easy,1.0,5.3
6,23,easy,5.5,9.6
6,24,easy,7.0,6.6
6,25,easy,4.0,3.2
6,26,easy,5.0,6.6
6,27,easy,-1.5,4.3999999999999995
6,28,easy,4.0,2.4000000000000004
6,29,easy,8.0,6.8
6,30,easy,10.0,4.8
6,31,easy,5.0,5.3
6,32,easy,6.0,8.5
6,33,easy,4.0,4.3
