"","gender","age_group","education","unemployed","have_partner","depressed","children_presence","housing_financial_difficulties","selfrated_health","critical_job","weight"
"1","m","_1","low","yes","yes","yes","yes","yes","good","yes",0.000220803377252508
"2","f","_1","low","yes","yes","yes","yes","yes","good","yes",0.000175502371355158
"3","m","_2","low","yes","yes","yes","yes","yes","good","yes",0.00725446212804631
"4","f","_2","low","yes","yes","yes","yes","yes","good","yes",0.00501629491493722
"5","m","_3","low","yes","yes","yes","yes","yes","good","yes",0.0342695315088579
"6","f","_3","low","yes","yes","yes","yes","yes","good","yes",0.0257291151733727
"7","m","_4","low","yes","yes","yes","yes","yes","good","yes",0.00748077655909613
"8","f","_4","low","yes","yes","yes","yes","yes","good","yes",0.00391921004380899
"9","m","_1","middle","yes","yes","yes","yes","yes","good","yes",0.00705765527606357
"10","f","_1","middle","yes","yes","yes","yes","yes","good","yes",0.00832323742489219
"11","m","_2","middle","yes","yes","yes","yes","yes","good","yes",0.0731579428430046
"12","f","_2","middle","yes","yes","yes","yes","yes","good","yes",0.0750574650437283
"13","m","_3","middle","yes","yes","yes","yes","yes","good","yes",0.203619079673397
"14","f","_3","middle","yes","yes","yes","yes","yes","good","yes",0.226824372518865
"15","m","_4","middle","yes","yes","yes","yes","yes","good","yes",0.0319633078278595
"16","f","_4","middle","yes","yes","yes","yes","yes","good","yes",0.024846094797467
"17","m","_1","high","yes","yes","yes","yes","yes","good","yes",0.0116005004572176
"18","f","_1","high","yes","yes","yes","yes","yes","good","yes",0.0117662357172991
"19","m","_2","high","yes","yes","yes","yes","yes","good","yes",0.0756534545931414
"20","f","_2","high","yes","yes","yes","yes","yes","good","yes",0.0667559759488529
"21","m","_3","high","yes","yes","yes","yes","yes","good","yes",0.155770194696465
"22","f","_3","high","yes","yes","yes","yes","yes","good","yes",0.149239775907297
"23","m","_4","high","yes","yes","yes","yes","yes","good","yes",0.0307353871378983
"24","f","_4","high","yes","yes","yes","yes","yes","good","yes",0.0205482142763936
"25","m","_1","low","no","yes","yes","yes","yes","good","yes",6.0602442577762e-06
"26","f","_1","low","no","yes","yes","yes","yes","good","yes",4.39058391733398e-06
"27","m","_2","low","no","yes","yes","yes","yes","good","yes",0.000128070255759727
"28","f","_2","low","no","yes","yes","yes","yes","good","yes",8.07199709069307e-05
"29","m","_3","low","no","yes","yes","yes","yes","good","yes",0.00055908415349448
"30","f","_3","low","no","yes","yes","yes","yes","good","yes",0.00038260332768895
