actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_M;gender_F;education_Low;education_Medium;education_High;Unemployed_yes;Unemployed_no;Have_partner_yes;Have_partner_no;Depressed_yes;Depressed_no;Children_presence_yes;Children_presence_no;housing_financial_difficulties_yes;housing_financial_difficulties_no;selfrated_health_good;selfrated_health_average;selfrated_health_poor;critical_job_yes;critical_job_no
work_from_home;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
maintain_physical_distance;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
stay_at_home;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
exercise;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
socialise;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
travel;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
seek_help;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
negative_coping;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
positive_coping;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
socialise_online;1.28;0.13;0;-0.22;0.56;-0.18;0.0;-0.46;0;-0.42;-0.04;0;-0.29;0;-0.18;0;0.16;0;-0.13;0;0.06;0;1.07;-0.07;0
