actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_M;gender_F;education_Low;education_Medium;education_High;Unemployed_yes;Unemployed_no;Have_partner_yes;Have_partner_no;Depressed_yes;Depressed_no;Children_presence_yes;Children_presence_no;housing_financial_difficulties_yes;housing_financial_difficulties_no;selfrated_health_good;selfrated_health_average;selfrated_health_poor;critical_job_yes;critical_job_no
work_from_home;-0,3;0,11;-0,17;0,2;-0,44;0,45;-0,75;-0,59;-0,7;0,99;-0,11;-0,19;0,07;-0,37;-1,23;0,93;-0,18;-0,12;-0,16;-0,14;0,16;-0,44;-0,02;-1,37;1,07
maintain_physical_distance;4,58;-1,15;5,91;-0,94;0,76;-0,96;5,54;0,43;2,76;1,39;-0,96;5,54;0,97;3,61;0;0;-0,38;4,96;-0,65;5,23;-0,53;5,1;0,01;-0,6;5,18
stay_at_home;0,63;-0,23;1,02;-0,16;0;-0,12;0,75;-0,12;0,52;0,23;0,49;0,14;0,12;0,51;0,4;0,4;-0,16;0,79;0,15;0,48;-0,16;0,64;0,15;-0,06;0,69
exercise;-0,06;-0,3;0,18;-0,28;0,34;-0,08;0,02;-0,07;-0,55;0,56;-0,18;0,12;0,09;-0,15;0,3;-0,36;0,19;-0,25;-0,1;0,04;0,22;-0,16;-0,12;0,01;-0,07
socialise;1,93;-0,41;2,75;-0,51;0,1;-0,34;2,27;-0,63;2,24;0,32;0,05;1,88;0,22;1,71;-0,62;2,55;0,1;1,83;-0,53;2,46;0,08;1,81;0,04;0,23;1,7
travel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
seek_help;1,17;0,22;1,03;0,01;-0,09;-0,28;1,45;-0,18;1,4;-0,05;-0,15;1,32;-0,05;1,22;-0,76;1,93;-0,27;1,44;-0,33;1,5;0,15;0,57;0,45;0,14;1,03
negative_coping;2,17;0,75;1,31;0,52;-0,41;0,34;1,83;-0,37;3,27;-0,73;0,54;1,63;-0,15;2,32;0,72;1,45;-0,12;2,29;0,07;2,1;0,04;2,29;-0,16;0,36;1,81
positive_coping;-0,36;0,16;-0,53;0,14;-0,13;-0,11;-0,25;-0,35;-0,4;0,39;0,63;-0,99;0,14;-0,5;-0,7;0,34;-0,06;-0,3;-0,05;-0,31;0,21;-0,21;-0,36;-0,08;-0,28
socialise_online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
