actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_M;gender_F;education_Low;education_Medium;education_High;Unemployed_yes;Unemployed_no;Have_partner_yes;Have_partner_no;Depressed_yes;Depressed_no;Children_presence_yes;Children_presence_no;housing_finanicial_difficulties_yes;housing_finanicial_difficulties_no;selfrated_health_good;selfrated_health_average;selfrated_health_poor;critical_job_yes;critical_job_no
work_from_home;-3.88;0.95;0;0.75;-0.1;0.05;0;0.41;0;-0.22;-0.83;0;-0.25;0;1.75;0;0.15;0;-0.01;0;-0.77;0;1.15;-0.19;0
maintain_physical_distance;-3.8000000000000003;0.95;0;0.73;-0.11;0.07;0;0.43;0;-0.26;-0.79;0;-0.27;0;1.77;0;0.15;0;0.0;0;-0.78;0;1.17;-0.16;0
stay_at_home;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
exercise;-4.27;0.91;0;0.75;-0.05;0.07;0;0.45;0;-0.22;-0.72;0;-0.19;0;1.69;0;0.15;0;-0.02;0;-0.72;0;1.08;-0.18;0
socialise;-4.24;1.04;0;0.8;-0.09;0.01;0;0.48;0;-0.22;-0.8;0;-0.28;0;1.64;0;0.19;0;-0.01;0;-0.76;0;1.14;-0.17;0
travel;-3.98;0.47;0;-0.62;-0.27;-0.06;0;0.26;0;0.36;0.17;0;-1.15;0;1.15;0;-0.09;0;0.73;0;-1.65;0;0.57;0.36;0
seek_help;-4.12;0.84;0;0.73;0.02;0.03;0;0.53;0;-0.14;-0.78;0;-0.3;0;1.77;0;0.17;0;-0.03;0;-0.77;0;1.0;-0.16;0
negative_coping;-3.91;0.94;0;0.74;-0.09;0.05;0;0.42;0;-0.24;-0.84;0;-0.26;0;1.76;0;0.16;0;0.0;0;-0.78;0;1.14;-0.18;0
positive_coping;-4.55;0.51;0;-0.55;-0.2;-0.17;0;0.2;0;0.45;0.29;0;-1.03;0;1.05;0;-0.14;0;0.84;0;-1.56;0;0.64;0.13;0
socialise_online;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0
