actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_M;gender_F;education_Low;education_Medium;education_High;Unemployed_yes;Unemployed_no;Have_partner_yes;Have_partner_no;Depressed_yes;Depressed_no;Children_presence_yes;Children_presence_no;housing_financial_difficulties_yes;housing_financial_difficulties_no;selfrated_health_good;selfrated_health_average;selfrated_health_poor;critical_job_yes;critical_job_no
work_from_home;-0.3;0.11;0.0;0.2;-0.44;0.45;0.0;-0.59;0.0;0.99;-0.11;0.0;0.07;0.0;-1.23;0.0;-0.18;0.0;-0.16;0.0;0.16;0.0;-0.02;-1.37;0.0
maintain_physical_distance;4.58;-1.15;0.0;-0.94;0.76;-0.96;0.0;0.43;0.0;1.39;-0.96;0.0;0.97;0.0;0.0;0.0;-0.38;0.0;-0.65;0.0;-0.53;0.0;0.01;-0.6;0.0
stay_at_home;0.63;-0.23;0.0;-0.16;0.0;-0.12;0.0;-0.12;0.0;0.23;0.49;0.0;0.12;0.0;0.4;0.0;-0.16;0.0;0.15;0.0;-0.16;0.0;0.15;-0.06;0.0
exercise;-0.06;-0.3;0.0;-0.28;0.34;-0.08;0.0;-0.07;0.0;0.56;-0.18;0.0;0.09;0.0;0.3;0.0;0.19;0.0;-0.1;0.0;0.22;0.0;-0.12;0.01;0.0
socialise;1.93;-0.41;0.0;-0.51;0.1;-0.34;0.0;-0.63;0.0;0.32;0.05;0.0;0.22;0.0;-0.62;0.0;0.1;0.0;-0.53;0.0;0.08;0.0;0.04;0.23;0.0
travel;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
seek_help;1.17;0.22;0.0;0.01;-0.09;-0.28;0.0;-0.18;0.0;-0.05;-0.15;0.0;-0.05;0.0;-0.76;0.0;-0.27;0.0;-0.33;0.0;0.15;0.0;0.45;0.14;0.0
negative_coping;2.17;0.75;0.0;0.52;-0.41;0.34;0.0;-0.37;0.0;-0.73;0.54;0.0;-0.15;0.0;0.72;0.0;-0.12;0.0;0.07;0.0;0.04;0.0;-0.16;0.36;0.0
positive_coping;-0.36;0.16;0.0;0.14;-0.13;-0.11;0.0;-0.35;0.0;0.39;0.63;0.0;0.14;0.0;-0.7;0.0;-0.06;0.0;-0.05;0.0;0.21;0.0;-0.36;-0.08;0.0
socialise_online;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
