actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_M;gender_F;education_Low;education_Medium;education_High;Unemployed_yes;Unemployed_no;Have_partner_yes;Have_partner_no;Depressed_yes;Depressed_no;Children_presence_yes;Children_presence_no;housing_finanicial_difficulties_yes;housing_finanicial_difficulties_no;selfrated_health_good;selfrated_health_average;selfrated_health_poor;critical_job_yes;critical_job_no
work_from_home;-0.19;0.04;-0.29000000000000004;0.18;-0.12;0.07;-0.26;-0.84;-0.77;1.42;-0.09;-0.1;0.17;-0.36;-1.09;0.9000000000000001;-0.05;-0.14;0.06;-0.25;-0.02;-0.16;-0.01;-1.16;0.97
maintain_physical_distance;2.71;0.15;1.4500000000000002;0.21;0.9;-0.5;3.21;-0.51;2.57;0.65;-0.8;3.51;0.55;2.16;-0.71;3.42;0.13;2.58;-0.3;3.01;0.48;2.69;-0.46;0.18;2.53
stay_at_home;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
exercise;0.3;-0.57;1.1599999999999997;-0.37;0.08;0.03;0.27;-0.2;0.35;0.15;0.68;-0.38000000000000006;0.25;0.04999999999999999;-0.59;0.8899999999999999;-0.06;0.36;-0.1;0.4;0.33;0.43999999999999995;-0.47;-0.07;0.37
socialise;1.83;-0.65;2.1399999999999997;-0.19;0.53;-0.1;1.9300000000000002;0.16;1.2600000000000002;0.41;-0.17;2.0;-0.08;1.9100000000000001;-0.18;2.0100000000000002;0.16;1.6700000000000002;-0.08;1.9100000000000001;0.07;2.2800000000000002;-0.52;0.1;1.73
travel;;;;;;;;;;;;;;;;;;;;;;;;;
seek_help;;;;;;;;;;;;;;;;;;;;;;;;;
negative_coping;1.5;0.79;0.27;0.21;0.23;0.45;1.05;0.37;1.45;-0.32;0.02;1.48;-0.06;1.56;0.0;1.5;0.22;1.28;-0.3;1.8;-0.2;1.56;0.14;0.38;1.12
positive_coping;;;;;;;;;;;;;;;;;;;;;;;;;
socialise_online;;;;;;;;;;;;;;;;;;;;;;;;;
