actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_M;gender_F;education_Low;education_Medium;education_High;Unemployed_yes;Unemployed_no;Have_partner_yes;Have_partner_no;Depressed_yes;Depressed_no;Children_presence_yes;Children_presence_no;housing_finanicial_difficulties_yes;housing_finanicial_difficulties_no;selfrated_health_good;selfrated_health_average;selfrated_health_poor;critical_job_yes;critical_job_no
work_from_home;-0.24;0.13;-0.16000000000000003;0.15;-0.36;0.19;-0.43;-0.84;-0.43000000000000005;1.03;-0.08;-0.15999999999999998;0.1;-0.33999999999999997;-1.1;0.8600000000000001;0.0;-0.24;-0.05;-0.19;0.08;-0.22;-0.1;-1.27;1.03
maintain_physical_distance;;;;;;;;;;;;;;;;;;;;;;;;;
stay_at_home;;;;;;;;;;;;;;;;;;;;;;;;;
exercise;0.31;-0.56;1.21;-0.46;0.12;-0.15;0.45999999999999996;-0.48;0.52;0.27;0.26;0.04999999999999999;0.29;0.020000000000000018;-0.06;0.37;0.01;0.3;-0.2;0.51;0.23;0.13;-0.05;-0.03;0.33999999999999997
socialise;;;;;;;;;;;;;;;;;;;;;;;;;
travel;;;;;;;;;;;;;;;;;;;;;;;;;
seek_help;;;;;;;;;;;;;;;;;;;;;;;;;
negative_coping;1.53;0.65;0.9500000000000001;0.3;-0.37;0.42;1.11;0.32;1.18;0.03;0.75;0.78;0.04;1.49;0.66;0.87;0.07;1.46;-0.13;1.6600000000000001;-0.1;1.75;-0.12;0.41;1.12
positive_coping;;;;;;;;;;;;;;;;;;;;;;;;;
socialise_online;;;;;;;;;;;;;;;;;;;;;;;;;
