actions;baseline;age_group__1;age_group__2;age_group__3;age_group__4;gender_M;gender_F;education_Low;education_Medium;education_High;Unemployed_yes;Unemployed_no;Have_partner_yes;Have_partner_no;Depressed_yes;Depressed_no;Children_presence_yes;Children_presence_no;housing_finanicial_difficulties_yes;housing_finanicial_difficulties_no;selfrated_health_good;selfrated_health_average;selfrated_health_poor;critical_job_yes;critical_job_no
work_from_home;-0.3;0.11;-0.16999999999999998;0.2;-0.44;0.45;-0.75;-0.59;-0.7;0.99;-0.11;-0.19;0.07;-0.37;-1.23;0.9299999999999999;-0.18;-0.12;-0.16;-0.13999999999999999;0.16;-0.43999999999999995;-0.02;-1.37;1.07
maintain_physical_distance;4.58;-1.15;5.91;-0.94;0.76;-0.96;5.54;0.43;2.7600000000000007;1.39;-0.96;5.54;0.97;3.6100000000000003;0.0;0.0;-0.38;4.96;-0.65;5.23;-0.53;5.1000000000000005;0.01;-0.6;5.18
stay_at_home;;;;;;;;;;;;;;;;;;;;;;;;;
exercise;-0.06;-0.3;0.18;-0.28;0.34;-0.08;0.020000000000000004;-0.07;-0.55;0.56;-0.18;0.12;0.09;-0.15;0.3;-0.36;0.19;-0.25;-0.1;0.04000000000000001;0.22;-0.16000000000000003;-0.12;0.01;-0.06999999999999999
socialise;1.93;-0.41;2.7499999999999996;-0.51;0.1;-0.34;2.27;-0.63;2.24;0.32;0.05;1.88;0.22;1.71;-0.62;2.55;0.1;1.8299999999999998;-0.53;2.46;0.08;1.8099999999999998;0.04;0.23;1.7
travel;;;;;;;;;;;;;;;;;;;;;;;;;
seek_help;;;;;;;;;;;;;;;;;;;;;;;;;
negative_coping;2.17;0.75;1.3099999999999998;0.52;-0.41;0.34;1.8299999999999998;-0.37;3.27;-0.73;0.54;1.63;-0.15;2.32;0.72;1.45;-0.12;2.29;0.07;2.1;0.04;2.29;-0.16;0.36;1.81
positive_coping;;;;;;;;;;;;;;;;;;;;;;;;;
socialise_online;;;;;;;;;;;;;;;;;;;;;;;;;
